时间,消费,展现量,点击量,点击率,平均点击成本,平均千次展现费用,点赞,评论,收藏,关注,分享,互动量,平均互动成本,行动按钮点击量,行动按钮点击率,截图,保存图片,搜索组件点击量,搜索组件点击转化率,平均搜后阅读笔记篇数,搜后阅读量,多转化人数（添加企微+私信咨询）,多转化成本（添加企微+私信咨询）,多转化人数（添加企微成功+私信留资）,多转化成本（私信留资+添加企微成功）
19/05/2025,52.72,1900,135,7.11%,0.39,27.75,2,1,1,0,0,4,13.18,0,0.0%,2,0,0,0.0%,0.0,0,0,0.0,0,0.0
20/05/2025,59.53,2429,192,7.9%,0.31,24.51,3,2,0,2,3,10,5.95,1,0.52%,6,0,0,0.0%,0.0,0,3,19.84,1,59.53
21/05/2025,35.32,827,67,8.1%,0.53,42.71,1,1,1,0,2,5,7.06,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
22/05/2025,37.9,788,52,6.6%,0.73,48.1,0,0,0,0,1,1,37.9,2,3.85%,0,0,0,0.0%,0.0,0,1,37.9,0,0.0
23/05/2025,15.4,437,33,7.55%,0.47,35.24,0,0,1,0,1,2,7.7,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
24/05/2025,8.33,357,25,7.0%,0.33,23.33,0,1,0,0,0,1,8.33,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
25/05/2025,16.82,739,78,10.55%,0.22,22.76,0,0,4,0,0,4,4.21,2,2.56%,0,0,0,0.0%,0.0,0,2,8.41,0,0.0
26/05/2025,9.92,214,17,7.94%,0.58,46.36,0,1,0,0,0,1,9.92,0,0.0%,0,0,0,0.0%,0.0,0,1,9.92,1,9.92
27/05/2025,17.16,189,19,10.05%,0.9,90.79,0,0,1,0,0,1,17.16,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
28/05/2025,1.68,107,2,1.87%,0.84,15.7,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
29/05/2025,33.51,1480,88,5.95%,0.38,22.64,1,0,3,0,1,5,6.7,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
30/05/2025,143.41,1468,85,5.79%,1.69,97.69,1,0,2,2,0,5,28.68,2,2.35%,1,0,0,0.0%,0.0,0,2,71.71,0,0.0
31/05/2025,185.9,2392,168,7.02%,1.11,77.72,4,0,2,1,1,8,23.24,0,0.0%,0,0,0,0.0%,0.0,0,1,185.9,2,92.95
01/06/2025,110.83,2375,177,7.45%,0.63,46.67,1,0,1,0,0,2,55.42,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
02/06/2025,182.52,1969,166,8.43%,1.1,92.7,0,1,3,0,1,5,36.5,2,1.2%,0,0,0,0.0%,0.0,0,2,91.26,0,0.0
03/06/2025,43.21,2190,209,9.54%,0.21,19.73,4,1,2,1,4,12,3.6,1,0.48%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
04/06/2025,50.1,1965,195,9.92%,0.26,25.5,0,0,3,1,3,7,7.16,1,0.51%,3,0,0,0.0%,0.0,0,2,25.05,1,50.1
05/06/2025,75.43,1898,132,6.95%,0.57,39.74,1,0,3,1,1,6,12.57,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
06/06/2025,36.92,1147,81,7.06%,0.46,32.19,3,1,0,0,0,4,9.23,0,0.0%,1,0,0,0.0%,0.0,0,0,0.0,0,0.0
07/06/2025,24.27,720,56,7.78%,0.43,33.71,1,0,1,0,0,2,12.14,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
08/06/2025,24.02,931,68,7.3%,0.35,25.8,0,0,1,0,1,2,12.01,0,0.0%,1,0,0,0.0%,0.0,0,0,0.0,0,0.0
09/06/2025,17.67,821,60,7.31%,0.29,21.52,0,0,0,1,1,2,8.84,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
10/06/2025,31.57,877,74,8.44%,0.43,36.0,2,0,2,0,0,4,7.89,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
11/06/2025,29.31,646,59,9.13%,0.5,45.37,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
12/06/2025,20.18,632,47,7.44%,0.43,31.93,0,0,1,0,0,1,20.18,0,0.0%,1,0,0,0.0%,0.0,0,0,0.0,0,0.0
13/06/2025,15.09,493,43,8.72%,0.35,30.61,2,1,1,0,0,4,3.77,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
14/06/2025,6.87,506,40,7.91%,0.17,13.58,1,0,1,0,1,3,2.29,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
15/06/2025,8.12,673,51,7.58%,0.16,12.07,0,0,0,1,0,1,8.12,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
16/06/2025,6.91,516,33,6.4%,0.21,13.39,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
17/06/2025,8.32,499,39,7.82%,0.21,16.67,0,1,0,0,0,1,8.32,0,0.0%,1,0,0,0.0%,0.0,0,0,0.0,0,0.0
18/06/2025,60.65,441,33,7.48%,1.84,137.53,0,0,0,1,1,2,30.33,0,0.0%,0,0,0,0.0%,0.0,0,1,60.65,0,0.0
19/06/2025,21.67,556,45,8.09%,0.48,38.97,0,0,1,1,0,2,10.84,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
20/06/2025,12.79,355,20,5.63%,0.64,36.03,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
21/06/2025,13.23,558,45,8.06%,0.29,23.71,2,0,0,0,0,2,6.62,0,0.0%,2,0,0,0.0%,0.0,0,0,0.0,0,0.0
22/06/2025,13.0,667,61,9.15%,0.21,19.49,0,0,0,0,1,1,13.0,0,0.0%,1,0,0,0.0%,0.0,0,1,13.0,0,0.0
23/06/2025,168.61,681,46,6.75%,3.67,247.59,1,0,0,0,0,1,168.61,0,0.0%,0,0,0,0.0%,0.0,0,1,168.61,1,168.61
24/06/2025,145.72,637,37,5.81%,3.94,228.76,0,0,0,0,0,0,0.0,1,2.7%,0,0,0,0.0%,0.0,0,2,72.86,1,145.72
25/06/2025,17.65,473,37,7.82%,0.48,37.32,1,0,2,0,1,4,4.41,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
26/06/2025,29.18,781,45,5.76%,0.65,37.36,1,0,2,1,0,4,7.3,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
27/06/2025,32.39,461,33,7.16%,0.98,70.26,0,1,0,1,0,2,16.2,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
28/06/2025,133.51,544,34,6.25%,3.93,245.42,0,0,0,0,1,1,133.51,2,5.88%,0,0,0,0.0%,0.0,0,1,133.51,1,133.51
29/06/2025,15.28,732,54,7.38%,0.28,20.87,1,0,0,0,0,1,15.28,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
30/06/2025,13.37,1040,70,6.73%,0.19,12.86,2,0,0,0,1,3,4.46,2,2.86%,1,0,0,0.0%,0.0,0,2,6.69,0,0.0
01/07/2025,138.24,1164,86,7.39%,1.61,118.76,1,1,1,1,1,5,27.65,0,0.0%,1,0,0,0.0%,0.0,0,1,138.24,0,0.0
02/07/2025,33.16,944,43,4.56%,0.77,35.13,0,0,1,0,1,2,16.58,0,0.0%,0,0,0,0.0%,0.0,0,0,0.0,0,0.0
